date,selection,odds,prob,ev,stake,result,gross_pnl,commission,net_pnl,bankroll
2023-08-13,A,2.37,0.523,0.239,59.3,LOSS,-59.3,0.0,-59.3,1126.74
2023-08-14,A,9.54,0.123,0.169,11.17,LOSS,-11.17,0.0,-11.17,1115.57
2023-08-18,D,3.39,0.333,0.131,30.42,LOSS,-30.42,0.0,-30.42,1085.15
2023-08-18,A,4.17,0.253,0.056,9.66,LOSS,-9.66,0.0,-9.66,1075.49
2023-08-19,A,2.35,0.487,0.145,53.77,LOSS,-53.77,0.0,-53.77,1021.71
2023-08-19,A,1.89,0.602,0.137,51.09,WIN,44.4,0.91,44.4,1066.12
2023-08-20,H,1.7,0.661,0.122,53.31,WIN,36.4,0.74,36.4,1102.52
2023-08-20,H,3.71,0.3,0.112,22.79,WIN,60.6,1.24,60.6,1163.12
2023-08-21,H,5.78,0.193,0.115,14.02,LOSS,-14.02,0.0,-14.02,1149.1
2023-08-25,D,5.76,0.184,0.062,7.47,LOSS,-7.47,0.0,-7.47,1141.63
2023-08-26,A,1.94,0.595,0.155,57.08,WIN,52.73,1.08,52.73,1194.36
2023-08-26,D,3.36,0.328,0.104,26.23,WIN,60.69,1.24,60.69,1255.06
2023-08-27,D,7.33,0.182,0.332,32.9,LOSS,-32.9,0.0,-32.9,1222.15
2023-08-27,H,2.2,0.537,0.179,61.11,LOSS,-61.11,0.0,-61.11,1161.05
2023-09-01,H,4.62,0.272,0.259,41.58,LOSS,-41.58,0.0,-41.58,1119.47
2023-09-01,D,3.82,0.277,0.06,11.82,LOSS,-11.82,0.0,-11.82,1107.64
2023-09-02,D,4.84,0.293,0.418,55.38,LOSS,-55.38,0.0,-55.38,1052.26
2023-09-02,A,8.2,0.17,0.393,28.69,WIN,202.39,4.13,202.39,1254.65
2023-09-03,A,4.17,0.253,0.054,10.63,LOSS,-10.63,0.0,-10.63,1244.02
2023-09-03,H,1.65,0.63,0.039,37.52,WIN,23.84,0.49,23.84,1267.86
