odds_home,odds_draw,odds_away,implied_home,implied_draw,implied_away,no_vig_home,no_vig_draw,no_vig_away,market_overround,line_dispersion_home,line_dispersion_draw,line_dispersion_away,book_count,elo_home,elo_away,elo_diff,form_pts_home_l5,form_pts_away_l5,form_gf_home_l5,form_gf_away_l5,form_ga_home_l5,form_ga_away_l5,rest_days_home,rest_days_away,league,home_team,away_team,label,kickoff_time
3.0,3.32,2.54,0.3333333333333333,0.30120481927710846,0.39370078740157477,0.3241788657891499,0.2929327100504367,0.38288842416041324,1.0282389400120167,0.08485281374238578,0.06259992012774454,0.04092676385936229,4.0,1455.0286802842547,1494.3464159679033,-39.31773568364861,1.0,0.8,1.2,0.8,1.4,1.0,15.0,13.0,championship,Hull,Stoke,2,2022-01-16
3.67,3.54,2.09,0.2724795640326976,0.2824858757062147,0.47846889952153115,0.26366412812224926,0.27334670909849,0.46298916277926067,1.0334343392604435,0.16828175777546428,0.06941721688457418,0.04205650960315192,4.0,1474.4455115847336,1521.9286813493236,-47.48316976459,1.0,1.8,1.2,2.6,1.4,2.0,8.0,8.0,bundesliga,Augsburg,Ein Frankfurt,1,2022-01-16
2.01,3.42,4.09,0.49751243781094534,0.29239766081871343,0.24449877750611249,0.48096304013698776,0.28267126043138746,0.23636569943162478,1.0344088761357713,0.03699662146737179,0.16828175777546425,0.0998436277385792,4.0,1474.5750526606719,1400.312778687376,74.2622739732958,1.6,1.0,1.4,0.4,1.0,2.0,8.0,8.0,bundesliga,Bielefeld,Greuther Furth,1,2022-01-16
1.37,5.04,8.91,0.7299270072992701,0.1984126984126984,0.1122334455667789,0.7014663086418018,0.19067635770620406,0.10785733365199422,1.0405731512787473,0.018708286933869635,0.10755812382149467,0.4533969011804116,4.0,1503.866209395521,1440.8008449532408,63.06536444228027,1.4,1.2,2.2,0.8,1.8,2.4,7.0,5.0,seriea,Roma,Cagliari,0,2022-01-16
2.25,3.54,3.27,0.4444444444444444,0.2824858757062147,0.3058103975535168,0.43035433466055467,0.2735302974537424,0.29611536788570275,1.032740717704176,0.036400549446402475,0.09499999999999999,0.07158910531638173,4.0,1499.9152824614114,1488.901635225117,11.013647236294446,1.6,0.8,2.0,1.0,1.6,1.4,7.0,7.0,seriea,Sassuolo,Verona,2,2022-01-16
2.89,3.85,2.34,0.3460207612456747,0.2597402597402597,0.4273504273504274,0.3349307200136813,0.2514155274907893,0.4136537524955295,1.0331114483363617,0.059739015726742555,0.10231690964840563,0.0449305018890287,4.0,1577.6065792257382,1613.4977376012298,-35.891158375491614,2.0,3.0,2.4,3.0,1.8,0.2,7.0,7.0,seriea,Atalanta,Inter,1,2022-01-16
1.46,4.75,6.94,0.684931506849315,0.21052631578947367,0.1440922190201729,0.6588730502634293,0.20251676913360142,0.13861018060296929,1.0395500416589616,0.03112474899497186,0.12949420836469863,0.23731571797923556,4.0,1520.913656690343,1458.7976605865103,62.115996103832686,2.0,1.0,1.8,0.6,0.8,0.8,7.0,7.0,ligue1,Monaco,Clermont,0,2022-01-16
1.32,5.53,10.23,0.7575757575757576,0.18083182640144665,0.09775171065493646,0.7311383119375613,0.17452126071565657,0.0943404273467821,1.0361592946321407,0.012247448713915901,0.2737128970289855,0.8087451700010333,4.0,1589.4680649545771,1451.7192575203992,137.74880743417793,2.0,1.4,2.2,0.8,1.0,1.0,8.0,8.0,seriea,Milan,Spezia,2,2022-01-17
1.43,4.67,7.91,0.6993006993006994,0.21413276231263384,0.1264222503160556,0.6724978199169475,0.20592545663409736,0.12157672344895507,1.039855711929389,0.01785357107135714,0.2233131209759067,0.4533969011804116,4.0,1518.425166070681,1419.1627626583215,99.26240341235939,2.2,0.4,2.6,0.6,1.2,1.6,26.0,8.0,seriea,Fiorentina,Genoa,0,2022-01-17
4.17,3.39,2.0,0.23980815347721823,0.2949852507374631,0.5,0.23174495749633414,0.28506680612380925,0.48318823637985664,1.0347934042146814,0.12509996003196805,0.12557368354874365,0.036400549446402544,4.0,1487.24899292346,1558.776603230461,-71.52761030700094,0.6,1.4,1.4,0.6,1.8,0.6,6.0,8.0,seriea,Bologna,Napoli,2,2022-01-17
1.48,4.47,7.18,0.6756756756756757,0.2237136465324385,0.1392757660167131,0.6505231410352557,0.2153857379714046,0.1340911209933396,1.0386650882248274,0.03240370349203933,0.1025914226434158,0.2511473670974871,4.0,1529.734519465128,1442.4962838228957,87.23823564223221,1.4,0.6,1.6,0.8,1.2,1.8,9.0,9.0,laliga,Betis,Alaves,0,2022-01-18
4.75,3.79,1.78,0.21052631578947367,0.2638522427440633,0.5617977528089888,0.20317615205534323,0.25464029611157796,0.5421835518330789,1.0361763113425257,0.20928449536456353,0.06020797289396138,0.03561951712193755,4.0,1512.85013595535,1563.5793592956154,-50.729223340265435,1.6,1.2,1.4,1.2,1.0,1.0,4.0,3.0,epl,Brighton,Chelsea,1,2022-01-18
3.05,3.18,2.6,0.3278688524590164,0.31446540880503143,0.3846153846153846,0.31926477970421285,0.30621307487353744,0.37452214542224965,1.0269496458794325,0.07758060324591441,0.08717797887081337,0.028613807855649112,4.0,1507.5265671859004,1515.4493121500982,-7.922744964197818,1.6,2.4,1.2,1.4,1.0,0.8,3.0,3.0,championship,Preston,Sheffield United,1,2022-01-18
1.28,5.92,11.63,0.78125,0.16891891891891891,0.08598452278589853,0.7539906432338666,0.16302500394245764,0.08298435282367576,1.0361534417048175,0.010897247358851694,0.1909842925478428,0.3839514943322919,4.0,1577.2617761406423,1468.658312694282,108.60346344636037,1.6,0.4,3.0,1.0,1.0,2.4,3.0,3.0,championship,Fulham,Birmingham,0,2022-01-18
